Title,Author,Date,Category,Content,URL
"Sokoto govt. spends N4.7bn on students' WASSCE, NECO, UTME registrations",Sylvester Thompson,8/15/2025 8:55,Metro,"Sokoto govt. spends N4.7bn on students�?? WASSCE, NECO, UTME registrations
By Sylvester Thompson
Registration
Abuja, Aug. 15, 2025 (NAN) Sokoto State Government says it had spent N4.7 billion to register students from the state for external examinations in the last two years.
The Commissioner for Basic and Secondary Education, Prof. Ahmed Ala, stated this during an interview with the News Agency of Nigeria (NAN) on Thursday in Abuja.
Ala told NAN that the exams included those conducted by West African Examinations Council (WAEC), National Examinations Council (NECO), Joint Admissions and Matriculation Board (JAMB) and National Board for Technical Education (NABTEB).
He said that the move was part of efforts by the state government to ensure that all students in the state who were eligible for the examinations sat for them, irrespective of the economic status of their parents and guardians.
The commissioner said that the state government also spends about N66 million on payment of imprests to secondary school principals to take care of their schools�?? immediate needs such as minor maintenance works.
According to him, under the arrangement, each of the principals receives N200,000 monthly from the state government as imprest.
He said that to motivate teachers in the state, government had increased their salaries from within the threshold of N20,000 to not less than N70,000, the national minimum wage.
�??Before the coming of the present administration, before a teacher gets his salary, it would be almost the end of the next month; government was always indebted as far as salary was concerned.
�??But today, by 19
th
, 20
th
, every teacher would have got his salary, except maybe delay is coming from his bank,�??�?? the commissioner told NAN.
According to him, the state government is determined to boost enrolment and retention in basic education.
To achieve this, he said that the ministry was sensitising parents and guardians on the need for them not only to enrol their wards but also to ensure that they remained in school until the end of their programmes. (NAN)(www.nannews.ng)
SET/KUA/WAS
Edited by Uche Anune/�??Wale Sadeeq",https://nannews.com.ng/2025/08/15/sokoto-govt-spends-n4-7bn-on-students-wassce-neco-utme-registrations/
Female journalists to media owners: prioritise our safety,Martha Agas,8/15/2025 8:25,General News,"Female journalists to media owners: prioritise our safety
Safety
By Martha Agas
Abuja, Aug.15,2025(NAN) Female Journalists have urged media owners and managers to take primary responsibility for the safety of reporters in their employment particularly the females when they face threats and other attacks in the course of their work.
These threats they said include online abuse, sexist attacks and physical violence.
This is contained in a ?�communique issued at the end of a two-day workshop on the safety of female journalists in Abuja organised by the Media Rights Agenda (MRA).
The communiqu?? was made available to newsmen by MRA�??s Executive Director, Edetaen Ojo on Friday in Abuja.
The News Agency of Nigeria (NAN) reports that MRA with support from International Freedom of Expression Exchange (IFEX) and Safety and Justice Grant held a workshop for 23 female journalists in Abuja from Aug. 12 to 13.
Ojo said the workshop was organised against the backdrop of an increasingly hostile environment for journalists, particularly female journalists who face unique, gender-specific threats and attacks.
The workshop`s sessions covered gendered and non-gendered attacks on female journalists, protection against physical and online threats, legal frameworks that protect female journalists and creating safer newsrooms for women in the media among other topics.
According to the communique, female journalists should be encouraged and trained to conduct regular threat assessments and environmental scans of locations where they intend to report from.
It stated that the training should include mentorship, knowledge exchange, and other peer learning methods aimed at guiding female journalist in developing clear strategies for responding to safety challenges in case of emergencies or escalating threats.
It said female journalists across the country should build a national protective network, cutting across media organisations and existing divides, through which they can demonstrate or strengthen solidarity and peer support.
�?? Female Journalists should undertake joint advocacy for the implementation of the UN Plan of Action on the Safety of Journalists in Nigeria and push for the adoption of any other national safety framework that may be necessary.
�?? Such a protective network may be anchored on the Nigeria Association of Women Journalists (NAWOJ).
�??Media organisations should fulfil their obligations to support the safety and well-being of female journalists by providing necessary resources.
�??This is including appropriate transportation, safe accommodation, and financial support, especially when assignments require them to work late or cover high-risk events, �?? it stated.
According to the communique, participants reaffirmed their commitment to advancing their safety and protecting their rights as female journalists.
They called on the government, media organisations and associations, regulatory bodies, CSOs and international development partners among others to recognise that the safety of female journalists was central to media freedom, democracy, and national development. (NAN)(www.nannews.ng)
MAA/SH
=======
Edited by Sadiya Hamza",https://nannews.com.ng/2025/08/15/female-journalists-to-media-owners-prioritise-our-safety/
"NSCDC deploys 20,850 personnel for Saturday�??s by-elections in 12 states",kelechi ogunleye,8/15/2025 7:58,Defence/Security,"NSCDC deploys 20,850 personnel for Saturday�??s ?�by-elections in 12 states
Deployment
By Kelechi Ogunleye
Abuja, Aug.15,2025(NAN) The Nigeria Security and Civil Defence Corps (NSCDC) has deployed 20,850 personnel to ensure protection of lives and Critical National Asset and Infrastructure (CNAI) for the Saturday by-elections
The News Agency of Nigeria (NAN) reports that the Independent National Electoral Commission (INEC) is to conduct by-elections in?�16 constituencies in 12 states on Saturday.
This is contained in a statement by the NSCDC Public Relations Officer (PRO), Babatunde Afolabi on Friday in Abuja.
According to him, the NSCDC Commandant-General (CG), Ahmed Audi, while deploying the personnel, said that they were deployed to ensure a hitch-free bye- election in the 16 constituencies across 12 states of the Federation.
Audi assured the public of the corps�?? readiness to secure election materials, safeguard officials and monitor the whole election process in synergy with the Nigeria Police Force who is the lead agency in election duty operations.
He charged the 12 state commandants on professionalism and respect for citizens fundamental human rights and?� ensuring a peaceful conduct of the bye-election.
�??You are hereby directed to work in synergy with relevant sister security agencies within Anambra, Edo, Jigawa, Kaduna, Ogun, Oyo, Taraba, Kogi, Kano, Niger and all states where the by-election would be held,�?� Audi said.
The CG urged eligible voters to come out massively to vote for the candidates of their choice as a symbol of their franchise and fundamental rights.(NAN)(www.nannews.ng)
KAYC/SSA/SH
===========
Edited by Shuaib Sadiq/Sadiya Hamza",https://nannews.com.ng/2025/08/15/nscdc-deploys-20850-personnel-for-saturdays-by-elections-in-12-states/
"Nezianya, Ex NAN Director joins prestigious Agbalanze society of Onitsha",Patrick Anaso,8/15/2025 7:14,General News,"Tony Nezianya, a former NAN Director and the current Public Relations Officer (PRO), Nigeria Olympic Committee (NOC) (NAN)
Chieftaincy
By Chimezie Anaso
Awka, Aug. 15, 2025(NAN) Chief Tony Nezianya, a former Deputy Director in the News Agency of Nigeria (NAN), has been inducted into the ancient prestigious Agbalanze Cultural Association of Onitsha Kingdom in Anambra, South East Nigeria.
Nezianya, a veteran sports journalist and current Public Relations Officer (PRO), Nigeria Olympic Committee (NOC), performed the �??Mmacha na Ozo�?? (Public Dance of Initiation) at the Ime-Obi Ogbeoza square, Onitsha, on Thursday.
He adopted the title �??Ozomdioranma�?� (Ozomma),?� meaning the chief who enjoys the approval of the people.
NAN reports that some of the activities in the week-long initiation rite are �??Ibu Ego�??, �??Ina Ibibi and �??Mma na Ozo�??.
Chief Tony Nezianya and wife, Philomena
Mr Nnaemeka Mmaduegbuna, a Communication and Public Relations guru, said the initiation of Nezianya into the Agbalanze association was symbolic of his attainment of high status in Onitsha.
Mmaduegbuna ,who described Nezianya as a committed traditional communicator, said he had been an active member of the team involved in the propagation?� of Onitsha culture, with immense contributions to the society.
�??This shows that he is a man of means, he has now become a man of immense status with attendant responsibilities.
�??Ozomma, that is Tony Nezianya,?�is now a priest and a person of status who can perform priestly functions, social functions and political functions in Onitsha,�?� he said.
Also speaking, Mr Chudi Anali, a former Commissioner for Justice in Anambra, said the Nezianya was highly suited for the prestigious Agbalanze society given his cerebral nature.
According to Anali, he has done well for himself and Onitsha through journalism.
�??His title �??Ozo Idi Ora Mma�??, means the public is happy that he has taken the title.
�??I am very confident that he will live up to the expectations from a person in that status,�?� he said.
Also, his wife of 33 years, Mrs Philomena Nezianya, said she was happy and proud of her husband�??s achievements while promising to support him to succeed in the new role.
Philomena said the responsibilities that came with being the wife of Agbalanze were much but assured that she would uphold the honour bestowed on her family.
In his speech, Nezianya said he was fulfilled to be a member of the distinguished group of Agbalanze , a?� gathering of people who were successful in their fields of endeavour.
Nezianya said he had been contributing to the political, economic and cultural development of Onitsha and that the honour was both a recognition and an encouragement.
�??The distinguished Agbalanze found me worthy to be one of them and initiated me. I chose the name �??Ozomma�?? which is reflective of the general wish of everybody.
�??I appreciate my family and people for supporting me all through the journey and I promise to continue to give my best to Onitsha and the larger society,�?� he said.(NAN)(www.nannews.ng)
APC/VIV
======
Edited by Vivian Ihechu",https://nannews.com.ng/2025/08/15/nezianya-ex-nan-director-joins-prestigious-agbalanze-society-of-onitsha/
"Rescued miners narrate ordeal, seek unpaid wages recovery",Philomina Attah,8/15/2025 6:49,General News,"Wages
By Philomina Attah
Abuja, Aug. 15, 2025 ( NAN) Eleven Nigerian stranded miners in the Central African Republic (CAR), have expressed gratitude to the federal government for its swift intervention in their rescue.
Speaking on behalf of the returnees on Thursday in Abuja, Mr Freeborn Igorigo expressed.gratitude to President Bola Tinubu for their timely rescue, warm and dignified reception given to them.
The miners, who were allegedly lured to CAR by a Nigerian agent in collaboration with a Chinese national, had earlier made a public appeal for help through a viral video.
In the footage, the victims, visibly weak, distressed claimed they had been abandoned without pay for 11 months after being hired for mining work.
Sharing details of their months-long ordeal in the CAR forest, Igorigo said they endured life-threatening conditions, including threats from armed soldiers, physical assaults, imprisonment without cause, and prolonged deprivation.
�??Some of us have medical conditions from hazardous exposure and accidents in the forest.
�??We were threatened and beaten by soldiers and also imprisoned for nothing,�?� he said.
Igorigo, said he had worked for the company for three years and had been in CAR since September 2024.
He revealed that he was the individual who recorded and shared the video that alerted the public to their dire situation.
Describing the circumstances leading to his viral video, Igorigo said Chinese workers were evacuated from the site while Nigerian were left behind in dangerous, isolated conditions.
�??When we attempted to join the departing workers, we were met with armed threats and violence,�?� he said.
He expressed gratitude to the media, the public, and everyone who raised awareness of their plight.
According to him, the rescue was achieved through the coordinated efforts of Nigeria�??s ambassador to Central Africa, the office of the National Security Adviser, the Department of State Services (DSS), and the National Emergency Management Agency (NEMA).
However, Igorigo lamented that after a year away from home, they were returning to their families empty-handed as their employers have withheld their salaries for nine months.
He said while the company occasionally provided small amounts as �??3D money�?� to placate workers, promises of full payment had turned out to be false.
Igorigo stressed that, now safe in Nigeria, their rescue is only �??the first step�?� and urged the government not to relent until justice is served and all their outstanding wages are paid
�??We are pleading with the authorities, the DSS, the Ministry of Mines, and the federal government to help us recover what we laboured for.
�??If such companies get away with this, it can encourage more exploitation of Nigerians abroad,�?� he said.
The News Agency of. Nigeria (NAN) recalls that following the viral video of the miners, there was a swift response from the Nigerian Embassy in CAR, in collaboration with the security forces.
The officials successfully located the miners and accompanied them on a multi-day journey from their remote location to the CAR capital city.
The returnees were on Thursday accompanied to Abuja by the Nigerian Ambassador to the CAR, Mr Babagana Ahmed.
The Asky Airlines Boeing 747-200 aircraft, with registration number ET-AXO, conveying the returnees touched down in Abuja at exactly 4:45 pm
They were received on arrival in Abuja, by a Federal Government delegation led by the Director General of the National Emergency Management Agency (NEMA), Mrs Zubaida Umar.
Umar was represented at the y the Director of Search and Rescue, Air Commodore Kenneth Oyong.(NAN) (www.nannews.ng
APA/ROT
========
Edited by Rotimi Ijikanmi",https://nannews.com.ng/2025/08/15/rescued-miners-narrate-ordeal-seek-unpaid-wages-recovery/
INEC distributes election materials for Anambra by-elections,Obinna Unaeze,8/15/2025 6:49,Politics,"INEC distributes election material for Anambra by-elections
By-elections
Obinna Unaeze
Awka, Aug. 14, 2025 (NAN) The Independent National Electoral Commission (INEC) has commenced the distribution of sensitive and non-sensitive materials for the by-elections in the Anambra-South Senatorial District and Onitsha-North 1 State Constituency.
The INEC had scheduled the elections for Aug. 16.
The INEC Resident Electoral Commissioner (REC) in the state, Dr. Elizabeth Agwu made this known while distributing the material on Thursday in Awka.
The News Agency of Nigeria (NAN) reports that the exercise was carried out at the premises of the Central Bank of Nigeria (CBN), before the representatives of various political parties, security agencies and the media.
�??We have been planning for this Anambra South Senatorial district by- election and Onitsha South State House of Assembly by-election.
�??These by-elections were generated as a result of deaths of the two occupants of these seats.
�??We are at the CBN today with all the concerned parties to access the sensitive materials such as ballot papers, results sheets.
�??We packed the other sensitive materials such as the Bimodal Voter Accreditation System (BVAS) and Electronic Voter Registration (EVR) at the INEC office.
�??We came over to the CBN to open other sensitive materials which we received on Wednesday night at the CBN here,�?� she said.
Agwu disclosed that the sensitive materials kept with the CBN arrived on Wednesday night, while the non sensitive materials had already been received by the commission.
According to her, all the parties are here; the observers, media and security agencies and we opened everything before everybody and they testified that there was no ?��??magomago�?� (fraud) and everything went on fine.
All the materials for the two elections were received and signed for onward movement to the eight local government areas where the polls will take place on Saturday by the concerned political parties and party agents.
She explained that the two by-elections in the state aim at filling the vacant seats at both the Senate and State House of Assembly, following the deaths of late Sen. Ifeanyi Ubah, Young Progressives Party (YPP), who represented Anambra South and late Mr Justice Azuka, Labour Party (LP), who represented Onitsha North Constituency 1 at the Anambra?� legislature.
The REC urged voters to come out en masse to cast their votes for the candidates of their choice.
�??We want the electorates to do away with rumour making the rounds that the commission had already written results of the elections or will rig the process in favour of anybody,�?� she said.
According to Agwu, as we are speaking now, the vehicles are loading and they are going to the local government areas where they would continue the election process.
She said that 8,400 adhoc staff with four adhoc staff per polling unit would participate in the elections.
Agwu said that over 8,170 registered voters are expected to come out to cast their votes during the Onitsha North 1 State constituency poll while the figure for the Anambra South Senatorial poll could not be ascertained as of the time of this report.
She assured the public of adequate security, following a resolution after a meeting of Inter Security Agencies for Election Security and stakeholders of the eight Local Government Areas towards ensuring a hitch free, peaceful and transparent exercise.
�??All the security agencies for the election have been moved to different areas for the election. They include the police, Nigeria Security and Civil Defense Corps (NSCDC), Department of State Services (DSS) and others.
�??We are poised for success, security agencies have assured Anambra people that there will be no loss of lives.
�??They warned that people should mind their businesses, if you have no business with voting and election on that day stay in your house,�?� she said. (NAN) (www.nannews.ng)
OCU/MNA
Edited by Maureen Atuonwu",https://nannews.com.ng/2025/08/15/inec-distributes-election-material-for-anambra-by-elections/
Panel seeks comprehensive overhaul of Nigeria�??s non-custodial justice system,Ibironke Ariyo,8/15/2025 6:32,Defence/Security,"Stakeholders and Panel members at the third Public hearing in Abuja
Panel seeks comprehensive overhaul of Nigeria�??s non-custodial justice system
Justice
By Ibironke Ariyo
Abuja, Aug. 15, 2025 (NAN)The Independent Investigative Panel on Alleged Corruption, and Other Human Rights Violations in the Nigerian Correctional Service (NCoS) has called for a comprehensive overhaul of Nigeria�??s non-custodial justice system,.
On the fourth day of a public hearing in Abuja, the panel examined the gaps in alternatives to imprisonment such as fines, compensation, community service, probation and parole.
Dr Uju Agomoh, the Secretary of the panel, in her summary of the day�??s proceedings in Abuja, said that the NCoS must improve the application of non-custodial measures to ease overcrowding in correctional centres.
She said that one critical issue was the plight of inmates given the option of fines or compensation but unable to pay.
The panel, she noted, had asked the NCoS to submit comprehensive data on inmates released through the intervention of the Minister of Interior, Dr Olubunmi Tunji-Ojo including the total amount spent and the number of beneficiaries.
According to records before the panel, in December 2023, the Minister of Interior secured the release of 4,086 inmates by raising N585 million.
This, she said were through private contributions to pay fines and compensation for low-risk offenders.
�??The panel commended the move but requested detailed breakdowns by custodial centres and states.
�??The panel also directed the Legal Aid Council of Nigeria to provide records of fines paid on behalf of inmates over the years.
�??The panel urge collaboration with stakeholders, including the Nigerian Bar Association�??s Section on Public Interest and Development Law (SPIDEL), to ensure efficient fine administration,�?�she said.
Agomoh, however, expressed concern that inmates often served months in custody for unpaid fines as low as N10,000 or N30,000, at a greater cost to the government.
She called for a comprehensive review of the fine system, alongside the establishment of a Victim Compensation Fund to address unresolved compensation payments preventing eligible inmates�?? release.
�??The panel also queried the implementation of Section 37(1) of the NCoS Act, 2019, which provides for non-custodial measures.
�??The panel has directed the NCoS to submit state-by-state statistics on community service, probation, parole and related interventions.
�??On funding, the panel questioned the lack of budgetary allocation for non-custodial services despite legal backing.
�??The panel has requested the NCoS to provide budget records from 2019 to date, including instances when such requests were denied or excluded,�?�she said.
Agomoh said that the panel had demanded updated staffing records for the Non-Custodial Directorate.
The News Agency of Nigeria (NAN) reports that the NCoS disclosed having 1,563 officers in the directorate, disparities were noted, such as Kebbi State with 131 officers and Imo State with only seven.
The Panel further called for detailed deployment data across the 774 local government areas and recruitment plans.
�??In addition, the NCoS was asked to submit its strategic plan on facilities, training, operational manuals and resource allocation.
�??The panel acknowledged the role of academic partnerships, such as social science interns engaged in Anambra State, but stressed the need for proper training and oversight.
International and local Civil Society Groups, including UNICEF, United Action Against Corruption and Injustice International, and Prison Fellowship, were recognised for their submissions and recommendations, which the panel promised to review.
In her closing remark, Dr. Magdalene Ajani, Chairperson of the Panel and Permanent Secretary, Federal Ministry of Interior, thanked all stakeholders, the media, and Nigerians following the proceedings online.
Ajani announced that a closed-door session would be held on Friday, Aug. 15, by invitation only, and urged stakeholders to submit any final documents beforehand.
�??I want to especially thank every institution present, the media for live coverage, and Nigerians watching online. If there is more information to share, please send it to the Secretariat.
�??As investigation continues, the Panel reiterated that non-custodial measures remain a vital but underutilised means of easing congestion in correctional centres and promoting a more humane justice system,�?�she maintained.(NAN) (www.nannews.ng)
ICA/SH
======
Edited by Sadiya Hamza",https://nannews.com.ng/2025/08/15/panel-seeks-comprehensive-overhaul-of-nigerias-non-custodial-justice-system/
"HBBA decries increasing jailbreaks, seeks urgent prison reforms",Ibironke Ariyo,8/15/2025 6:05,Defence/Security,"Hope Behind Bars Africa
HBBA decries increasing jailbreaks, seeks urgent prison reforms
Jailbreaks
By Ibironke Ariyo
Abuja, Aug. 15, 2025 (NAN) A Nigeria-based?�human rights organisation,?�Hope Behind Bars Africa has expressed deep concern over the jailbreak at the Medium Security Custodial Centre, Keffi (new), which occurred in the early hours of Tuesday, Aug. 12.
In a statement signed in Abuja by its Communications Lead, Mr. Obinna Ejiogu, the organisation described the incident as part of a troubling pattern of jailbreaks across the country�??s correctional facilities.
The News Agency of Nigeria (NAN) reports that at least 16 detainees escaped during the incident, while five staff members were injured, with two currently receiving urgent medical care.
Ejiogu recalled that in May 2025, seven detainees escaped from the Ilesha Custodial Centre in Osun State, while in March, 12 persons broke out of the Koton Karfe Correctional Centre in Kogi State.
According to him, the increasing frequency of jailbreaks signals a crisis in Nigeria�??s justice and corrections system, requiring urgent and holistic reforms.
�??There is a need for significant investment in infrastructure to modernise dilapidated facilities, measures to reduce overcrowding and policies to address systemic weaknesses.
�??I urge the Federal Government to take decisive steps to stop the current spate of jailbreaks,�?� Ejiogu said.
He also called on the National Assembly to prioritise correctional reform by passing legislation focused on strengthening and upgrading facilities.
He added that reducing the prison population through reforms in sentencing and alternatives to incarceration were critical to addressing the root causes of insecurity in custodial centres.
�??The time for urgent, coordinated action on the state of corrections in Nigeria is now,�?� Ejiogu said.(NAN)(www.nannews.ng)
ICA/COF
===========
Edited by Christiana Fadare",https://nannews.com.ng/2025/08/15/hbba-decries-increasing-jailbreaks-seeks-urgent-prison-reforms/
"African church elects new leader, urges organisation�??s growth �?? Official",Uchenna Eletuo,8/15/2025 5:51,Metro,"African church elects new leader, urges organisation�??s growth �?? official
Leadership
By Uchenna Eletuo
Lagos, Aug. 14, 2025 (NAN) The First African Church Mission, (TFACM) has elected its Deputy Lay President, Elder Innocent Nwachukwu-Asonye, the new leader of the church, and urged him to work for the growth of the body.
The church made the elevation known in a statement signed by Mr Sunday Shoneye, on behalf of its media team and the church, and made available to newsmen in Lagos on Thursday.
Shoneye congratulated the new leader, saying that the election was done at the ongoing TFACM�??s 134th Anniversary and Extra Ordinary Meeting of the General Council at its Prayer City, Land of Mercy, Omu, Lagos State.
The News Agency of Nigeria (NAN) reports that the anniversary theme is: �??Our Mission, a Command.�?�
The anniversary, which began on Aug. 12, will end on Aug. 17 with a thanksgiving service.
Shoneye said that the new leader, emerged after Mr Shola Taylor, its former Lay President, was suspended.
According to him, the new leader has been inaugurated by the church�??s Chancellor, other leaders and members at the event.
�??As a church, we congratulate our Leader, Elder Innocent Nwachukwu-Asonye, for his emergence and pray for God�??s vision and wisdom for him.
�??TFACM will like to inform all its units and organs that the former Lay President, Mr Shola Taylor, has been suspended by the Extra Ordinary Meeting of the General Council today at The Prayer City, Omu, Lagos State.
�??In the interim, the Deputy Lay President, Elder Innocent Nwachukwu-Asonye, takes over,�?� he said.
Shoneye added that all units were advised to direct their BOT members to disregard any invitation or announcement for any meeting called by the suspended lay president.
He said that in the interim, all businesses of the NAFAC/BOT are to be piloted by the Deputy Lay President, Elder Innocent Nwachukwu-Asonye, adding that only meetings called by the deputy lay president are legitimate.
Efforts to speak with Taylor were unsuccessful. (NAN) (www.nannews.ng)
EUC/COF
============
Edited by Christiana Fadare",https://nannews.com.ng/2025/08/15/african-church-elects-new-leader-urges-organisations-growth-official/
"S�??East at heart of Tinubu�??s vision, agenda �?? Idris",Collins M. Yakubu-hammer,8/15/2025 5:44,General News,"Vision
By Collins Yakubu-Hammer
Enugu, Aug. 15, 2025 (NAN) The Federal Government has said that the South-East region is at the heart of the visions and agenda of the President Bola Tinubu�??s led administration
The government stressed that, in the various reforms, strategic and inclusive leadership of Tinubu, the South-East region has not and will not be marginalised.
The Minister of Information and National Orientation, Alhaji Mohammed Idris, stated this during Citizens�?? Engagement with the people of Enugu State on Thursday in Enugu..
The News Agency of Nigeria (NAN) reports that a federal government team led by the Minister is embarking?�on a three-day citizens�?? engagement and tour of projects in Enugu and Ebony states.
NAN reports that the essence of the tour is to interact directly with citizens and showcase ongoing projects of the President Bola Tinubu-led administration in the South East region.
�??Nigeria will never go back to that era where the South-East or certain part of the country is being treated marginally,�?� he said
The minister further explained that, to address issues of marginalisation, Tinubu established new development commissions for all previously uncovered zones, ensuring no region is left behind.
He added that the President�??s inclusive governance style is evident in balanced appointments and equitable distribution of projects .
�??By the end of Tinubu�??s first term, the benefits of his reforms will be clearer.
�??The federal government remains committed to transparency, accountability, and delivering the dividends of democracy to all Nigerians.
�??With Tinubu, Nigeria is marching towards prosperity,�?� Idris said
The minister added that the federal government has rolled out various empowerment and humanitarian programmes to cushion the effects of fuel subsidy removal and other tough but necessary policies of the administration.
NAN reports that, the event, was attended by different stakeholders from the state.(NAN)(www.nannews.ng)
CMY/ROT
========
Edited by Rotimi Ijikanmi",https://nannews.com.ng/2025/08/15/seast-at-heart-of-tinubus-vision-agenda-idris/
